test,instance,cycle_num,capacity,capacity_lower_bound,capacity_upper_bound,capacity_lower_bound_pc,capacity_upper_bound_pc,capacity_uncertainty_pc
R10,I125,4,4.629662693482794,4.549140887927098,4.71018449903769,98.26%,101.74%,3.48%
R10,I125,9,4.598197809306038,4.518384262880351,4.67801135573099,98.26%,101.74%,3.47%
R10,I125,14,4.626579516348513,4.546634010282238,4.706525022414166,98.27%,101.73%,3.46%
R10,I125,19,4.623949486270941,4.544114965445434,4.70378400709558,98.27%,101.73%,3.45%
R10,I125,24,4.619044036719262,4.538977117294701,4.699110956143011,98.27%,101.73%,3.47%
R10,I125,29,4.603269839372178,4.523532603980654,4.683007074762939,98.27%,101.73%,3.46%
R10,I125,34,4.612945936348241,4.532916494986327,4.692975377709391,98.27%,101.73%,3.47%
R10,I125,39,4.498617187515669,4.420709790740626,4.57652458428981,98.27%,101.73%,3.46%
R10,I125,44,4.591864943507996,4.511989330616657,4.671740556398516,98.26%,101.74%,3.48%
R10,I125,49,4.573582114590776,4.4939061053828,4.653258123798059,98.26%,101.74%,3.48%
R10,I125,54,4.508462662841782,4.430232308380733,4.586693017301971,98.26%,101.74%,3.47%
R10,I125,59,4.585594817353291,4.505977493516364,4.66521214118936,98.26%,101.74%,3.47%
R10,I125,64,4.494889582454713,4.416727881719067,4.573051283189522,98.26%,101.74%,3.48%
R10,I125,69,4.482242640713057,4.403995086384386,4.560490195040911,98.25%,101.75%,3.49%
R10,I125,74,4.567916689033954,4.488517654052084,4.647315724015058,98.26%,101.74%,3.48%
R10,I125,79,4.564059603625883,4.484425663518642,4.643693543732433,98.26%,101.74%,3.49%
R10,I125,84,4.556007755484421,4.476580938596318,4.635434572371906,98.26%,101.74%,3.49%
R10,I125,89,4.538925750870678,4.4600314679611,4.617820033779396,98.26%,101.74%,3.48%
R10,I125,94,4.465989298376537,4.388396183076571,4.54358241367562,98.26%,101.74%,3.47%
R10,I125,99,4.540920951111738,4.46158333176631,4.620258570456344,98.25%,101.75%,3.49%
R10,I125,104,4.359965706615167,4.283545200881661,4.436386212347823,98.25%,101.75%,3.51%
R10,I125,109,4.512826430713203,4.433775618688768,4.591877242736931,98.25%,101.75%,3.5%
R10,I125,114,4.536000979697349,4.456925616059722,4.615076343334155,98.26%,101.74%,3.49%
R10,I125,119,4.51492350827544,4.436201074889129,4.593645941660897,98.26%,101.74%,3.49%
R10,I125,124,4.521049818567482,4.4420174330683,4.600082204065759,98.25%,101.75%,3.5%
R10,I125,129,4.560626882548162,4.485121333375906,4.636132431719648,98.34%,101.66%,3.31%
R10,I125,139,4.508501931015298,4.42936372300464,4.587640139025212,98.24%,101.76%,3.51%
R10,I125,144,4.44689621072687,4.368990495802964,4.524801925650087,98.25%,101.75%,3.5%
R10,I125,149,4.511322846552591,4.432082264110997,4.590563428993361,98.24%,101.76%,3.51%
R10,I125,159,4.497430593168365,4.418624314925904,4.576236871410114,98.25%,101.75%,3.5%
R10,I125,164,4.481068675312054,4.402497019420371,4.559640331202998,98.25%,101.75%,3.51%
R10,I125,169,4.472021060719149,4.393324478340708,4.550717643096823,98.24%,101.76%,3.52%
R10,I125,174,4.479354694191978,4.400170015612749,4.558539372770493,98.23%,101.77%,3.54%
R10,I125,179,4.385131113643193,4.307625009147969,4.462637218137699,98.23%,101.77%,3.53%
R10,I125,184,4.387491531813739,4.310527523037842,4.464455540588911,98.25%,101.75%,3.51%
R10,I125,189,4.386996868650465,4.309957833957636,4.464035903342486,98.24%,101.76%,3.51%
R10,I125,194,4.460817544284368,4.381687850974357,4.539947237593796,98.23%,101.77%,3.55%
R10,I125,199,4.451513092849857,4.373138399143146,4.529887786556011,98.24%,101.76%,3.52%
R10,I125,204,4.385426305514676,4.308259689214391,4.462592921814143,98.24%,101.76%,3.52%
R10,I125,209,4.371425604209355,4.294836657060164,4.448014551357957,98.25%,101.75%,3.5%
R10,I125,214,4.456247767308539,4.37829418151195,4.53420135310445,98.25%,101.75%,3.5%
R10,I125,219,4.336874538655736,4.261138678498022,4.412610398812559,98.25%,101.75%,3.49%
R10,I125,224,4.439654634316321,4.361493512155402,4.517815756476448,98.24%,101.76%,3.52%
R10,I125,229,4.352215601826927,4.275314385423899,4.42911681822927,98.23%,101.77%,3.53%
R10,I125,234,4.348326231170891,4.271136074687171,4.425516387654053,98.22%,101.78%,3.55%
R10,I125,239,4.426164108765259,4.34839419431272,4.503934023217017,98.24%,101.76%,3.51%
R10,I125,240,4.427116897371254,4.348756110325868,4.505477684415828,98.23%,101.77%,3.54%
