doe_number,instance_number,cycle,cycling_substate,start_time,end_time,capacity,time,energy,energy_rest,battery_capacity_charge_bulk,capacity_charge_cc,capacity_charge_cv,time_charge_cc,time_charge_cv,wh_charge_bulk,energy_charge_cc,energy_charge_cv,avg_temp,max_temp,min_temp,ambient_temperature_deg_c_avg,ambient_temperature_deg_c_max,ambient_temperature_deg_c_min,delta_temp,mean_mean_voltage,min_mean_voltage,max_mean_voltage,mean_min_voltage,min_min_voltage,max_min_voltage,mean_max_voltage,min_max_voltage,max_max_voltage,mean_mean_current,min_mean_current,max_mean_current,mean_min_current,min_min_current,max_min_current,mean_max_current,min_max_current,max_max_current,avg_sum_cell_voltage_v,avg_cell1_voltage_v,min_cell1_voltage_v,max_cell1_voltage_v,avg_cell2_voltage_v,max_cell2_voltage_v,min_cell2_voltage_v,avg_cell3_voltage_v,min_cell3_voltage_v,max_cell3_voltage_v,avg_cell4_voltage_v,min_cell4_voltage_v,max_cell4_voltage_v,avg_cell5_voltage_v,min_cell5_voltage_v,max_cell5_voltage_v,avg_cell6_voltage_v,min_cell6_voltage_v,max_cell6_voltage_v,avg_rest_current_a,min_rest_current_a,max_rest_current_a,avg_rest_voltage_v,min_rest_voltage_v,max_rest_voltage_v,capacity_5_minutes,capacity_10_minutes,capacity_15_minutes,capacity_20_minutes,capacity_25_minutes,capacity_30_minutes,capacity_35_minutes,capacity_40_minutes,capacity_45_minutes,capacity_50_minutes,capacity_55_minutes,capacity_60_minutes,capacity_90_minutes,capacity_120_minutes,capacity_150_minutes,capacity_180_minutes,dcir
testCell,21,211,DISCHARGE REST,2023-12-03 10:13:11.567,2023-12-03 10:13:11.567,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testCell,22,211,DISCHARGE REST,2023-12-03 17:41:57.801,2023-12-04 22:49:02.002,,1747.0700166666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testCell,23,211,DISCHARGE REST,2023-12-02 12:15:24.904,2023-12-02 12:15:24.904,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testCell,24,211,DISCHARGE REST,2023-12-02 16:33:23.615,2023-12-02 16:33:23.615,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testCell,25,211,DISCHARGE REST,2023-12-03 14:23:52.843,2023-12-03 14:23:52.843,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testCell,21,210,CHARGE,2023-12-03 08:20:10.461,2023-12-03 08:57:50.176,2.5617,37.66191666666667,10.2292,,1.8318,,0.7288,,17.98575,7.1709,,3.0583,7.744065414178111,13.599182,0.39938354,25.332064224191395,25.695877,25.014954,13.19979846,3.9670597185644527,3.2556763,4.203308,3.800080688812586,3.1050262,4.0722504,4.081978968719539,3.2767792,4.3238373,4.076467604860212,7.5361023,0.35577393,13.449947490456404,19.244537,0.45281982,9.267758806747883,0.25875854,11.158585,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018214188,0.6261074,1.2485757,1.8700808,2.247225,2.4331374,2.5291722,2.5608456,2.5608456,2.5608456,2.5608456,2.5608456,2.5608456,2.5608456,2.5608456,2.5608456,
testCell,21,210,CHARGE REST,2023-12-03 08:57:50.231,2023-12-03 09:27:46.920,,29.944816666666668,,0.0002,,,,,,,,,1.1222331487041557,3.7993317,0.1993866,25.33060907823961,25.936203,24.97757,3.5999451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testCell,21,210,DCIR,2023-12-03 09:27:47.534,2023-12-03 09:28:12.755,0.0543,0.42035,,0.2227,,,,,,,,,0.2973442848979592,0.39938354,0.1993866,24.980021816326524,25.022964,24.921494,0.1999969399999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5057895,2.5057895,2.5057895,2.5057895,2.5057895,2.5057895,2.5057895,2.5057895,2.5057895,2.5057895,2.5057895,2.5057895,2.5057895,2.5057895,2.5057895,2.5057895,
testCell,21,210,DISCHARGE,2023-12-03 09:28:12.775,2023-12-03 09:43:13.880,2.508,15.018416666666669,8.457,,,2.508,,15.009533333333334,,,8.457,,9.837883584915252,18.799103,0.39938354,24.9868552440678,25.498276,24.686508,18.39971946,3.378170216892656,2.5039062,3.8763885,3.377502933333333,2.5039062,3.874878,3.379449619830509,2.5054169,3.8794098,10.006491195480232,6.824524,10.349991,9.96166611485876,6.7921753,10.317642,10.041373505423737,6.8568726,10.414673,,,,,,,,,,,,,,,,,,,,,,,,,,1.671898,0.8368232,0.0018358602,-0.002408267,-0.002408267,-0.002408267,-0.002408267,-0.002408267,-0.002408267,-0.002408267,-0.002408267,-0.002408267,-0.002408267,-0.002408267,-0.002408267,-0.002408267,0.0264
testCell,21,210,DISCHARGE REST,2023-12-03 09:43:14.140,2023-12-03 10:13:11.065,,29.94875,,0.0525,,,,,,,,,5.498938986833743,19.399094,0.5993805,25.5636096809291,26.072388,25.116425,18.799713500000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testCell,22,210,CHARGE,2023-12-03 15:50:53.413,2023-12-03 16:26:57.045,2.5044,36.06053333333333,10.014,,1.8065,,0.6969,,16.55705,7.0888,,2.9252,7.177063066655863,12.3992,0.79937744,25.405123455218696,26.28334,25.092392,11.59982256,3.9639709715806495,3.2784119,4.2028503,3.798926944272159,3.1310883,4.070572,4.075731587641751,3.2904358,4.323105,4.163407680409854,7.492584,0.16217041,13.58529175056235,19.266647,0.42166138,9.299935532596637,0.29193115,10.509064,,,,,,,,,,,,,,,,,,,,,,,,,,9.2130584e-05,0.6229812,1.2448431,1.8641877,2.2306025,2.407063,2.4915564,2.5032547,2.5032547,2.5032547,2.5032547,2.5032547,2.5032547,2.5032547,2.5032547,2.5032547,
testCell,22,210,CHARGE REST,2023-12-03 16:26:57.054,2023-12-03 16:56:54.112,,29.950966666666663,,0.0135,,,,,,,,,1.5232050261980437,4.5993195,0.39938354,26.14757847982885,26.534348,25.287323,4.19993596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testCell,22,210,DCIR,2023-12-03 16:56:54.720,2023-12-03 16:57:19.974,0.0543,0.4209,,0.2219,,,,,,,,,0.39938354,0.39938354,0.39938354,26.34230475510204,26.440887,26.243286,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.448205,2.448205,2.448205,2.448205,2.448205,2.448205,2.448205,2.448205,2.448205,2.448205,2.448205,2.448205,2.448205,2.448205,2.448205,2.448205,0.0267
testCell,22,210,DISCHARGE,2023-12-03 16:57:19.975,2023-12-03 17:11:59.997,2.4489,14.667033333333334,8.2584,,,2.4489,,14.658166666666666,,,8.2584,,8.288383532789348,15.599152,0.39938354,25.533382021990743,26.256638,25.26062,15.19976846,3.3776482832175923,2.5072784,3.863144,3.377007148206019,2.5072784,3.8616333,3.3788879532986105,2.508789,3.86615,10.00712536805556,6.843872,10.054977,9.964405929398152,6.811432,10.022537,10.038549142361122,6.843872,10.152283,,,,,,,,,,,,,,,,,,,,,,,,,,1.6143909,0.77905965,-0.0008643134,-0.0008643134,-0.0008643134,-0.0008643134,-0.0008643134,-0.0008643134,-0.0008643134,-0.0008643134,-0.0008643134,-0.0008643134,-0.0008643134,-0.0008643134,-0.0008643134,-0.0008643134,
testCell,22,210,DISCHARGE REST,2023-12-03 17:12:00.332,2023-12-03 17:41:57.302,,29.9495,,0.0345,,,,,,,,,5.669352024486551,16.799133,0.79937744,26.356275540953543,26.689224,25.565033,15.99975556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testCell,23,210,CHARGE,2023-12-02 10:24:09.498,2023-12-02 11:00:31.167,2.506,36.36115,10.0056,,1.7967,,0.7083,,16.993316666666665,7.0365,,2.9691,4.693794304263122,7.9992676,0.79937744,25.725491983268395,26.948242,25.004272,7.19989016,3.968661770708231,3.2958221,4.2049713,3.7974612539307806,3.1299744,4.0662537,4.085979434953014,3.3108978,4.328598,4.125419610451981,7.5395813,0.22650146,13.528416417162456,19.253433,0.48538208,9.27592925286499,0.29122925,11.293182,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017607337,0.62655574,1.2515866,1.8690281,2.2305653,2.4047616,2.489775,2.5048797,2.5048797,2.5048797,2.5048797,2.5048797,2.5048797,2.5048797,2.5048797,2.5048797,
testCell,23,210,CHARGE REST,2023-12-02 11:00:31.320,2023-12-02 11:30:25.428,,29.9018,,0.0,,,,,,,,,1.098028135085574,2.799347,0.1993866,26.660247625916863,27.02835,25.468903,2.5999604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testCell,23,210,DCIR,2023-12-02 11:30:26.036,2023-12-02 11:30:51.247,0.0543,0.4201833333333333,,0.2217,,,,,,,,,0.3463231273469388,0.39938354,0.1993866,26.73827030612245,26.902847,26.617126,0.1999969399999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4498928,2.4498928,2.4498928,2.4498928,2.4498928,2.4498928,2.4498928,2.4498928,2.4498928,2.4498928,2.4498928,2.4498928,2.4498928,2.4498928,2.4498928,2.4498928,0.0268
testCell,23,210,DISCHARGE,2023-12-02 11:30:51.248,2023-12-02 11:45:29.913,2.4492,14.644416666666666,8.2432,,,2.4492,,14.63555,,,8.2432,,5.50995368675926,10.399231,0.39938354,26.143847211805568,26.6465,25.898819,9.99984746,3.376018453472222,2.502777,3.868744,3.3754854113425927,2.502777,3.8672485,3.37729774542824,2.5042877,3.8732758,10.009090642939825,6.860031,10.063553,9.965928599247697,6.8276825,10.031189,10.037706365740748,6.892395,10.0959015,,,,,,,,,,,,,,,,,,,,,,,,,,1.6157552,0.7790741,0.0005102496,0.0005102496,0.0005102496,0.0005102496,0.0005102496,0.0005102496,0.0005102496,0.0005102496,0.0005102496,0.0005102496,0.0005102496,0.0005102496,0.0005102496,0.0005102496,
testCell,23,210,DISCHARGE REST,2023-12-02 11:45:30.117,2023-12-02 12:15:24.407,,29.90483333333333,,0.0,,,,,,,,,3.5532473919559955,10.999222,0.79937744,26.74623389425428,26.948242,26.107101,10.19984456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testCell,24,210,CHARGE,2023-12-02 14:39:57.056,2023-12-02 15:18:30.564,2.5046,38.55846666666666,10.0444,,1.7509,,0.7527,,19.49653333333333,6.8817,,3.1627,5.252570547596966,9.79924,0.1993866,26.27759483856989,26.56105,25.888138,9.5998534,3.984701359934988,3.288498,4.203308,3.830290396294689,3.1528473,4.0782166,4.094709265287106,3.3141174,4.31633,3.898028407043774,7.522583,0.19371033,13.19257704379191,19.113174,0.5165863,9.27701461336942,0.3874359,11.170868,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0002652976,0.62333405,1.2455014,1.8557452,2.1944928,2.3654816,2.4602814,2.5035522,2.5035522,2.5035522,2.5035522,2.5035522,2.5035522,2.5035522,2.5035522,2.5035522,
testCell,24,210,CHARGE REST,2023-12-02 15:18:30.958,2023-12-02 15:48:29.884,,29.9821,,0.005,,,,,,,,,0.6295756296891689,1.9993591,-0.00061035156,26.523116349022,26.790695,26.08574,1.99996945156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testCell,24,210,DCIR,2023-12-02 15:48:30.492,2023-12-02 15:48:55.751,0.0542,0.4209833333333333,,0.2217,,,,,,,,,0.0565316346,0.1993866,-0.00061035156,26.311841632653056,26.36879,26.267319,0.19999695156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4486775,2.4486775,2.4486775,2.4486775,2.4486775,2.4486775,2.4486775,2.4486775,2.4486775,2.4486775,2.4486775,2.4486775,2.4486775,2.4486775,2.4486775,2.4486775,
